id,mx,my,kx,ky,realized_k,realized_theta_deg,cell_mass,c,phase
106,7,6,1.4,1.2,1.84390889145858,40.6012946450045,0.579874126015548,0.000166070882162689,0
107,4,-9,0.8,-1.8,1.96977156035922,-66.0375110254218,0.560203358623426,0.000160437346284699,0
108,4,9,0.8,1.8,1.96977156035922,66.0375110254218,0.560203358623426,0.000160437346284699,0
109,1,-9,0.2,-1.8,1.81107702762748,-83.6598082540901,0.552894121706955,0.000158344044707346,0
110,1,9,0.2,1.8,1.81107702762748,83.6598082540901,0.552894121706955,0.000158344044707346,0
111,7,-1,1.4,-0.2,1.4142135623731,-8.13010235415598,0.543768087530509,0.000155730428271753,0
112,7,1,1.4,0.2,1.4142135623731,8.13010235415598,0.543768087530509,0.000155730428271753,0
113,6,-8,1.2,-1.6,2,-53.130102354156,0.529399866233446,0.000151615495256363,0
114,6,8,1.2,1.6,2,53.130102354156,0.529399866233446,0.000151615495256363,0
115,7,0,1.4,0,1.4,0,0.513899086056228,0.000147176207275144,0
116,7,-7,1.4,-1.4,1.97989898732233,-45,0.49702598809571,0.000142343899473493,0
117,7,7,1.4,1.4,1.97989898732233,45,0.49702598809571,0.000142343899473493,0
118,5,-9,1,-1.8,2.0591260281974,-60.9453959009229,0.491791975767337,0.000140844924082755,0
119,5,9,1,1.8,2.0591260281974,60.9453959009229,0.491791975767337,0.000140844924082755,0
120,8,-4,1.6,-0.8,1.78885438199983,-26.565051177078,0.434329958719847,0.000124388304561731,0
121,8,4,1.6,0.8,1.78885438199983,26.565051177078,0.434329958719847,0.000124388304561731,0
122,8,-5,1.6,-1,1.88679622641132,-32.0053832080835,0.432805727427076,0.00012395177803976,0
123,8,5,1.6,1,1.88679622641132,32.0053832080835,0.432805727427076,0.00012395177803976,0
124,3,-10,0.6,-2,2.08806130178211,-73.3007557660064,0.425099159853764,0.000121744684434566,0
125,3,10,0.6,2,2.08806130178211,73.3007557660064,0.425099159853764,0.000121744684434566,0
126,2,-10,0.4,-2,2.03960780543711,-78.6900675259798,0.418488701053552,0.000119851506803078,0
127,2,10,0.4,2,2.03960780543711,78.6900675259798,0.418488701053552,0.000119851506803078,0
128,6,-9,1.2,-1.8,2.16333076527839,-56.3099324740202,0.412187889884417,0.000118047009547115,0
129,6,9,1.2,1.8,2.16333076527839,56.3099324740202,0.412187889884417,0.000118047009547115,0
130,7,-8,1.4,-1.6,2.12602916254693,-48.8140748342904,0.411821609833417,0.000117942110141435,0
131,7,8,1.4,1.6,2.12602916254693,48.8140748342904,0.411821609833417,0.000117942110141435,0
132,8,-3,1.6,-0.6,1.70880074906351,-20.5560452195835,0.408557358555912,0.000117007257101896,0
133,8,3,1.6,0.6,1.70880074906351,20.5560452195835,0.408557358555912,0.000117007257101896,0
134,8,-6,1.6,-1.2,2,-36.869897645844,0.406345725633598,0.000116373864760436,0
135,8,6,1.6,1.2,2,36.869897645844,0.406345725633598,0.000116373864760436,0
136,4,-10,0.8,-2,2.1540659228538,-68.1985905136482,0.405909599066607,0.000116248961922966,0
137,4,10,0.8,2,2.1540659228538,68.1985905136482,0.405909599066607,0.000116248961922966,0
138,1,-10,0.2,-2,2.00997512422418,-84.2894068625004,0.38473825462351,0.000110185673891141,0
139,1,10,0.2,2,2.00997512422418,84.2894068625004,0.38473825462351,0.000110185673891141,0
140,5,-10,1,-2,2.23606797749979,-63.434948822922,0.367589249425095,0.000105274348667713,0
141,5,10,1,2,2.23606797749979,63.434948822922,0.367589249425095,0.000105274348667713,0
142,8,-2,1.6,-0.4,1.64924225024706,-14.0362434679265,0.364654723907659,0.000104433926204379,0
143,8,2,1.6,0.4,1.64924225024706,14.0362434679265,0.364654723907659,0.000104433926204379,0
144,8,-7,1.6,-1.4,2.12602916254693,-41.1859251657096,0.363608691621655,0.000104134351698959,0
145,8,7,1.6,1.4,2.12602916254693,41.1859251657096,0.363608691621655,0.000104134351698959,0
146,7,-9,1.4,-1.8,2.28035085019828,-52.1250163489018,0.33394885770273,9.56400344622854e-05,0
147,7,9,1.4,1.8,2.28035085019828,52.1250163489018,0.33394885770273,9.56400344622854e-05,0
148,8,-1,1.6,-0.2,1.61245154965971,-7.1250163489018,0.322946756676163,9.24891288757928e-05,0
149,8,1,1.6,0.2,1.61245154965971,7.1250163489018,0.322946756676163,9.24891288757928e-05,0
150,6,-10,1.2,-2,2.33238075793812,-59.0362434679265,0.318847295936829,9.13150791452928e-05,0
151,6,10,1.2,2,2.33238075793812,59.0362434679265,0.318847295936829,9.13150791452928e-05,0
152,8,-8,1.6,-1.6,2.26274169979695,-45,0.313942790394159,8.99104716184151e-05,0
153,8,8,1.6,1.6,2.26274169979695,45,0.313942790394159,8.99104716184151e-05,0
154,3,-11,0.6,-2.2,2.28035085019828,-74.7448812969422,0.306049072925808,8.76497799187877e-05,0
155,3,11,0.6,2.2,2.28035085019828,74.7448812969422,0.306049072925808,8.76497799187877e-05,0
156,8,0,1.6,0,1.6,0,0.305737213643964,8.756046614581e-05,0
157,2,-11,0.4,-2.2,2.23606797749979,-79.695153531234,0.298220662420835,8.5407791562753e-05,0
158,2,11,0.4,2.2,2.23606797749979,79.695153531234,0.298220662420835,8.5407791562753e-05,0
159,4,-11,0.8,-2.2,2.34093998214392,-70.0168934781,0.297738878876689,8.5269812966023e-05,0
160,4,11,0.8,2.2,2.34093998214392,70.0168934781,0.297738878876689,8.5269812966023e-05,0
161,9,-5,1.8,-1,2.0591260281974,-29.0546040990771,0.294951296169123,8.44714736393007e-05,0
162,9,5,1.8,1,2.0591260281974,29.0546040990771,0.294951296169123,8.44714736393007e-05,0
163,9,-4,1.8,-0.8,1.96977156035922,-23.9624889745782,0.289179965304287,8.28186149153534e-05,0
164,9,4,1.8,0.8,1.96977156035922,23.9624889745782,0.289179965304287,8.28186149153534e-05,0
165,9,-6,1.8,-1.2,2.16333076527839,-33.6900675259798,0.285736168460063,8.18323415945569e-05,0
166,9,6,1.8,1.2,2.16333076527839,33.6900675259798,0.285736168460063,8.18323415945569e-05,0
