kph,case_id,case_label,J,raw_relative_l2,raw_relative_l2_pct,raw_relative_linf,low_output_relative_l2_pct,resolved_output_relative_l2_pct,norm_ratio,fft_ifft_count,pointwise_product_count,matlab_release
2,single_s30,"One system, 30 deg spreading",12,1.39738458845115e-06,0.000139738458845115,1.69084934092519e-06,9.15118218883938e-05,0.000105605034610452,0.99999973297092,125,85,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",1,0.503637268340925,50.3637268340925,0.538506910151902,0.0364915467390098,50.3637136139315,0.532060517341836,15,8,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",2,0.145223797432119,14.5223797432119,0.168426700803423,0.0276767858625368,14.5223533699458,0.863404611950041,25,15,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",3,0.0394768874593577,3.94768874593577,0.0496224465751608,0.0266838114311255,3.94759856229018,0.964114738710115,35,22,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",4,0.0109517568061677,1.09517568061677,0.0146875350217369,0.0265876264029645,1.09485289858348,0.990717520375164,45,29,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",5,0.00316172540512343,0.316172540512343,0.00443534886668177,0.0265780440297517,0.315053460462795,0.99757875289608,55,36,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",6,0.000976090011415619,0.0976090011415619,0.00137563413630129,0.0265770094493458,0.0939211353880628,0.999357568075761,65,43,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",7,0.000392125581301771,0.0392125581301771,0.00044300659882122,0.0265768856242965,0.0288321672030664,0.999826085523687,75,50,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",8,0.000280805054453594,0.0280805054453594,0.000152657461335556,0.0265768691488863,0.00906558394753662,0.999951962977604,85,57,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",9,0.00026735646863879,0.026735646863879,6.043975649605e-05,0.0265768667429474,0.00290946169551336,0.999986491969332,95,64,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",10,0.000265938869439306,0.0265938869439306,3.05996878099869e-05,0.0265768663650786,0.00095131330239654,0.999996154396867,105,71,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",11,0.000265787563369152,0.0265787563369152,2.07776012227153e-05,0.0265768663025088,0.000316963650410704,0.999998907312512,115,78,2022b
2,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",12,0.000265770847218646,0.0265770847218646,1.74910114627626e-05,0.0265768662917551,0.000107751674435262,0.999999703582499,125,85,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",1,0.506256705506768,50.6256705506768,0.61623419232427,0.14353827411362,50.6254670642112,0.60663921129545,15,8,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",2,0.145428721828392,14.5428721828392,0.192271177271844,0.108623475977881,14.542466512489,0.877177310865043,25,15,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",3,0.0393205721260451,3.93205721260451,0.0563601851171845,0.104634932255577,3.93066475982715,0.967031928182207,35,22,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",4,0.0108881405679368,1.08881405679368,0.0166351185198512,0.104241861519127,1.08381256893364,0.991356192640392,45,29,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",5,0.00327142625953131,0.327142625953131,0.00503833769814807,0.104201579068447,0.310103738505605,0.99772068343555,55,36,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",6,0.00139006941081189,0.139006941081189,0.00159238415661115,0.104197018548547,0.09201038525266,0.999389970669134,65,43,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",7,0.00107935520859871,0.107935520859871,0.0005458115922937,0.10419643191452,0.0281634557463108,0.999833990144318,75,50,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",8,0.00104571505109107,0.104571505109107,0.00022094411824631,0.104196346045243,0.00884992381910172,0.999954257198543,85,57,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",9,0.00104235181492407,0.104235181492407,0.000117998740869493,0.104196332023004,0.00284560252090022,0.999987455421945,95,64,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",10,0.0010420051775245,0.10420051775245,8.47385346490728e-05,0.104196329538732,0.000934243295123885,0.999996787372552,105,71,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",11,0.00104196798909365,0.104196798909365,7.37967488579176e-05,0.104196329072908,0.000312906837175309,0.999999454271267,115,78,2022b
2,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",12,0.00104196384227858,0.104196384227858,7.01422820129465e-05,0.1041963289821,0.000107297779679946,1.00000022440128,125,85,2022b
4,single_s30,"One system, 30 deg spreading",1,0.396373716971226,39.6373716971226,0.418810929541198,5.99921734830251e-16,39.6373716971226,0.6058821520723,15,8,2022b
4,single_s30,"One system, 30 deg spreading",2,0.106447991225116,10.6447991225116,0.124013403727943,4.71218604474671e-16,10.6447991225116,0.897088566050035,25,15,2022b
4,single_s30,"One system, 30 deg spreading",3,0.0278428311088875,2.78428311088875,0.0353362891488326,5.30079554263696e-16,2.78428311088875,0.974826606929144,35,22,2022b
4,single_s30,"One system, 30 deg spreading",4,0.0075792518878237,0.75792518878237,0.0101850417498561,5.36281576851316e-16,0.75792518878237,0.993869843388486,45,29,2022b
4,single_s30,"One system, 30 deg spreading",5,0.0021671714302831,0.21671714302831,0.00300252293992611,1.01426842042607e-15,0.21671714302831,0.998483253432167,55,36,2022b
4,single_s30,"One system, 30 deg spreading",6,0.000644990691513005,0.0644990691513005,0.000906528050962229,6.73668763194314e-16,0.0644990691513005,0.999615463294497,65,43,2022b
4,single_s30,"One system, 30 deg spreading",7,0.000197648064447364,0.0197648064447364,0.000279902577676569,8.35312812752951e-16,0.0197648064447364,0.999899812133034,75,50,2022b
4,single_s30,"One system, 30 deg spreading",8,6.19016709760591e-05,0.00619016709760591,8.81936494206081e-05,4.70180727120394e-16,0.00619016709760591,0.999973178712105,85,57,2022b
4,single_s30,"One system, 30 deg spreading",9,1.97339804664377e-05,0.00197339804664377,2.82987089889071e-05,4.35857200554944e-16,0.00197339804664377,0.999992635487829,95,64,2022b
4,single_s30,"One system, 30 deg spreading",10,6.39067302566273e-06,0.000639067302566273,9.22991772476051e-06,9.00719954301493e-16,0.000639067302566273,0.999997931287983,105,71,2022b
4,single_s30,"One system, 30 deg spreading",11,2.10000921211518e-06,0.000210000921211518,3.05488208769093e-06,9.31321948261982e-16,0.000210000921211518,0.999999407155246,115,78,2022b
4,single_s30,"One system, 30 deg spreading",12,7.00026798162032e-07,7.00026798162032e-05,1.02465089863347e-06,7.4735174553463e-16,7.00026798162032e-05,0.999999827114835,125,85,2022b
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",1,0.515929002085636,51.5929002085636,0.559480376678407,5.32624231651556e-16,51.5929002085636,0.536755121958169,15,8,2022b
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",2,0.144902384424171,14.4902384424171,0.169390852580092,4.32589769656374e-16,14.4902384424171,0.865937131776648,25,15,2022b
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",3,0.0380882309185075,3.80882309185075,0.0478668868370666,6.49421009725742e-16,3.80882309185075,0.965783911622337,35,22,2022b
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",4,0.0102047524842816,1.02047524842816,0.0135563533538598,5.02459666507169e-16,1.02047524842816,0.99144040243333,45,29,2022b
