abs_kx_over_k0,mf12_eta20_spectrum_scaled,gl6_eta20_spectrum_scaled,gl12_eta20_spectrum_scaled,gl16_eta20_spectrum_scaled
6.3,9.31158540420432e-20,7.1232650722351e-20,1.72504347715203e-19,2.51841000502525e-20
6.4,1.53329341668337e-19,2.16840434497101e-19,0,0
6.5,9.97810564194976e-20,7.1232650722351e-20,1.53039539811599e-19,1.78488956490473e-19
6.6,1.05308373959012e-19,8.03566009958657e-21,4.25628788344858e-20,2.46950418439443e-20
6.7,3.94848203775153e-20,2.04177111846631e-19,1.87100835267852e-19,8.15838285263272e-20
6.8,4.93319434868196e-20,1.47151501816298e-20,1.10432392282627e-19,6.78789579996638e-20
6.9,7.68032617326665e-20,6.15178150712572e-20,1.01332307768206e-19,1.59322961907472e-19
7,1.09347877932757e-19,1.33329012933776e-19,1.12407233286326e-20,1.06237141048112e-19
7.1,2.05170281951346e-19,1.93393798586769e-20,8.9855454579301e-20,1.59584216887507e-19
7.2,4.69257866805229e-20,1.06674328300793e-19,3.2547883567622e-20,1.13563737557752e-19
7.3,9.88096310041867e-20,7.6677313853246e-20,5.28134335413629e-20,1.66414843718102e-19
7.4,9.16031142394272e-20,1.03133000846534e-19,1.08935182752546e-19,6.54467742242838e-20
7.5,4.7437406958493e-20,1.35584859405888e-19,1.17306507849706e-19,9.06742715732167e-20
7.6,7.12515334711047e-20,4.90092411870113e-20,5.84714338940433e-20,7.01870626249777e-20
7.7,6.73177204132946e-20,9.81236013909829e-20,6.49948326814061e-20,1.6833905597085e-19
7.8,1.28529924554379e-19,3.08859941393055e-20,1.07623220798677e-19,1.55462550205406e-19
7.9,1.33678172189277e-19,8.34258028706064e-20,8.59895369235443e-20,1.09911212260497e-19
8,5.98210590248705e-20,8.47318147193875e-20,5.45920217570697e-20,7.56461222831241e-20
8.1,7.87699414417916e-20,5.68636047254942e-20,8.30582287107769e-20,8.74581854174821e-20
8.2,4.01550726609585e-20,2.58794143474249e-20,9.07982216328609e-20,9.71852743205861e-20
8.3,1.00211312544897e-19,2.20339990296921e-19,1.12358777652902e-19,1.48519551585955e-19
8.4,7.01811651818778e-20,1.40482498472819e-19,4.87694985466331e-20,2.68397974761337e-20
8.5,7.6291900689074e-20,8.18730993078905e-20,6.71752603942454e-20,1.6647117474639e-19
8.6,2.57078558377005e-20,6.71777766704793e-20,1.07776809511555e-19,6.25415328245914e-20
8.7,1.08296783905418e-19,1.11469444473142e-19,1.009292803116e-19,3.96555501404044e-20
8.8,6.89546191016378e-20,1.0186708188805e-19,6.88006466586481e-20,1.03924070040287e-19
8.9,8.03235577320057e-20,5.55132872724386e-20,6.9786431177956e-20,4.46185365070879e-20
9,5.48028360077929e-20,9.10117095464236e-20,7.87340103450726e-20,1.19468423750415e-19
9.1,5.08341573330134e-20,7.09467532908464e-20,4.25117216223339e-20,6.76562229286204e-20
