abs_kx_over_k0,abs_kx_depth,mf12_eta20_spectrum_scaled,gl12_eta20_spectrum_scaled,r2_eta20_spectrum_scaled,r4_eta20_spectrum_scaled,r6_eta20_spectrum_scaled
10,10,6.05836794934675e-20,5.35057037126001e-20,1.24767635704424e-19,9.49049902370885e-20,5.52901079154533e-20
10.1,10.1,8.72547259016513e-20,1.00207110397466e-19,6.47630253600173e-20,1.72013424906413e-19,7.54558921269726e-20
10.2,10.2,2.67412458978179e-20,1.07268266893653e-19,1.60119075273262e-19,7.97434315689926e-20,1.00132163181502e-19
10.3,10.3,8.47955380810756e-20,1.37388333215927e-19,3.00408058609226e-19,2.66338401100143e-19,1.09113818692368e-19
10.4,10.4,9.63088008021962e-20,1.28570561593385e-19,4.81544004010981e-20,7.96931523480912e-20,1.36074729148564e-19
10.5,10.5,2.08035035108869e-19,5.64043372947217e-20,4.2115409657611e-19,2.73780601950326e-20,1.6628251051213e-19
10.6,10.6,1.63259263178715e-19,1.14585545695601e-19,1.99917449929794e-19,5.18081012198403e-20,1.2543303064381e-19
10.7,10.7,1.61088356793986e-19,5.57958399585112e-20,1.39065210727676e-19,9.06172779586222e-20,9.24045941418943e-20
10.8,10.8,1.00650897511788e-19,1.40983037019633e-19,3.03687300331881e-19,6.50981106871783e-20,1.10148688481547e-19
10.9,10.9,1.08714137620763e-19,4.77256939963137e-20,2.11772205445111e-19,2.425707718541e-19,1.99165922278256e-19
11,11,2.45558334108924e-19,2.86534582971658e-20,2.38318478901595e-19,2.46920136908985e-19,1.40848979750026e-19
11.1,11.1,2.42268984470726e-19,3.43835789317958e-19,3.20442407339489e-20,8.95083087002029e-20,3.00505954454978e-19
11.2,11.2,2.85890873552501e-19,8.80914265144472e-20,1.06065301957586e-19,1.30871387375031e-19,1.24948126624045e-19
11.3,11.3,8.91134571702197e-20,3.22360462062724e-19,2.62344392977019e-19,2.46690444023025e-19,3.54324969535098e-19
11.4,11.4,6.8512452210717e-20,1.20892019237947e-19,8.04066572194697e-20,8.13450496213469e-20,2.08380588473268e-19
11.5,11.5,8.24279173181409e-20,2.26981469012338e-19,1.47532844629191e-19,5.99231408257769e-20,2.28788527575829e-19
11.6,11.6,8.9449245959734e-20,9.34772486854814e-20,1.35525271560688e-20,1.09331156217651e-19,1.08539265897266e-19
11.7,11.7,1.11121201179505e-19,9.80291650628508e-20,4.34135672952092e-20,7.03069113474146e-20,1.47059448078669e-20
11.8,11.8,1.89269122980071e-20,1.52825746523877e-19,5.69830450222609e-20,5.42482758686683e-20,8.01061104677416e-20
11.9,11.9,1.89885646779761e-19,2.3285927321868e-19,2.40147280264379e-19,1.73459695535713e-19,1.76472947933205e-19
12,12,8.80914265144472e-20,1.08631769093124e-19,5.58785009585234e-20,3.3881317890172e-20,1.05848620828403e-19
12.1,12.1,2.09475888890087e-19,1.558127983814e-19,1.22724510401362e-19,2.14610168700458e-19,4.07212017650443e-20
12.2,12.2,1.19554827553e-19,2.18235396824037e-19,1.15899623864721e-19,2.33265294790643e-20,2.47648732403836e-19
12.3,12.3,1.15496250131047e-19,9.65837666376069e-20,1.41220858648114e-19,1.31956314795026e-19,1.00126474060112e-19
12.4,12.4,2.03287907341032e-20,1.64298018576363e-19,1.10983944434276e-19,5.74985031256265e-20,1.03435174396363e-19
12.5,12.5,2.19342285058265e-19,4.91279109407494e-20,1.77876918923403e-20,4.39074461537536e-19,2.32087027547678e-19
12.6,12.6,7.03037346221069e-20,2.71050543121376e-20,2.79520872593919e-20,3.81164826264435e-20,9.3173624197973e-20
12.7,12.7,5.59319528647991e-19,4.42038408621321e-19,4.3368417770403e-19,1.33831205666179e-19,8.89384594617015e-20
12.8,12.8,0,4.33680868994202e-19,0,0,0
