x_over_lambda_p,mf12_phi_s33_scaled,pure_gl6_phi_s33_scaled,pure_gl8_phi_s33_scaled,pure_gl10_phi_s33_scaled,pure_gl6_difference_pct_of_mf12_peak,pure_gl8_difference_pct_of_mf12_peak,pure_gl10_difference_pct_of_mf12_peak
-2.578125,-3.94770516936901e-05,-3.84215086650677e-05,-3.8775332349331e-05,-3.90061293971576e-05,0.000162426147658273,0.000107980031842273,7.24651600153078e-05
-2.5625,-4.00078196946358e-05,-3.89218523630385e-05,-3.92843364394412e-05,-3.95304613067531e-05,0.000167107815949771,0.000111329045666584,7.34555407915056e-05
-2.546875,-4.05479453967671e-05,-3.94309502344058e-05,-3.98033613750592e-05,-4.0065438334904e-05,0.000171882354632253,0.000114576015353692,7.42478147751309e-05
-2.53125,-4.10938410588548e-05,-3.99484721462151e-05,-4.03312700681595e-05,-4.06091792118211e-05,0.00017624848545533,0.000117343836277574,7.45793914563262e-05
-2.515625,-4.16425339604105e-05,-4.04739941843858e-05,-4.08669824913947e-05,-4.11599816587063e-05,0.000179814000053489,0.000119341262276507,7.42547762470246e-05
-2.5,-4.21925183893917e-05,-4.10070953398581e-05,-4.14097726890207e-05,-4.17168058540066e-05,0.000182411985167833,0.000120448305052307,7.32022782777457e-05
-2.484375,-4.27443237644717e-05,-4.1547490106129e-05,-4.19595350832643e-05,-4.22796581322913e-05,0.000184167840856359,0.00012076267736873,7.15023893272778e-05
-2.46875,-4.33006390083844e-05,-4.20951706999308e-05,-4.25169580713463e-05,-4.28497783446051e-05,0.000185496534160052,0.000120592218549777,6.93780914302424e-05
-2.453125,-4.38659364587266e-05,-4.26505106867256e-05,-4.30835462535915e-05,-4.3429567139338e-05,0.000187028780975775,0.000120393601719418,6.71481745249781e-05
-2.4375,-4.44456693541432e-05,-4.3214291306714e-05,-4.36614667075512e-05,-4.40222531951925e-05,0.000189483504823039,0.000120672498813816,6.51549521807523e-05
-2.421875,-4.50452338213792e-05,-4.37876493956451e-05,-4.42532519448121e-05,-4.46313784092275e-05,0.00019351612211737,0.000121869560726343,6.36837518325101e-05
-2.40625,-4.56689440582264e-05,-4.43719786242796e-05,-4.48614398599578e-05,-4.52602315209301e-05,0.000199576041307243,0.000124258123625548,6.28923702137576e-05
-2.390625,-4.63192418044703e-05,-4.49688100280966e-05,-4.54882328243354e-05,-4.59113519896003e-05,0.000207803400869383,0.000127875021342242,6.27657703209295e-05
-2.375,-4.69962635408311e-05,-4.55796524980988e-05,-4.61352081559839e-05,-4.65861608017265e-05,0.000217987015367332,0.00013249853894036,6.31062933964942e-05
-2.359375,-4.76977794188351e-05,-4.62057313961934e-05,-4.68030524312555e-05,-4.7284706480105e-05,0.000229595199690848,0.000137679899215587,6.35633454255124e-05
-2.34375,-4.84194615918817e-05,-4.68475819926188e-05,-4.74912868273634e-05,-4.80055055206082e-05,0.000241879621169141,0.000142826817350218,6.36992411805879e-05
-2.328125,-4.91554526160985e-05,-4.75045557132138e-05,-4.81980270932146e-05,-4.87455195091032e-05,0.000254038742945907,0.000147327901501753,6.30801905382524e-05
-2.3125,-4.98992338079737e-05,-4.81744312022519e-05,-4.89199295180165e-05,-4.95003872250328e-05,0.000265411295533819,0.000150694589315395,6.13742047619914e-05
-2.296875,-5.06447644511958e-05,-4.88533903971092e-05,-4.96525152676128e-05,-5.02650340454719e-05,0.000275655258696587,0.000152686539568932,5.84326221460991e-05
-2.28125,-5.13877589781348e-05,-4.95365509961375e-05,-5.03909786181768e-05,-5.10346784760481e-05,0.000284862457405001,0.000153383793497002,5.4331755515494e-05
-2.265625,-5.21268601780017e-05,-5.02190622529466e-05,-5.11314066608145e-05,-5.18060980271931e-05,0.00029357047422461,0.000153179619954118,4.93586325309935e-05
-2.25,-5.28644470904415e-05,-5.08975733359163e-05,-5.18721755623716e-05,-5.25788994871835e-05,0.000302661017329304,0.000152689977921364,4.39398450964008e-05
-2.234375,-5.36069125256035e-05,-5.15717697363892e-05,-5.26152237787939e-05,-5.33565202909341e-05,0.000313166203767206,0.000152600299990211,3.85301640748633e-05
-2.21875,-5.43643796126623e-05,-5.22456533180491e-05,-5.33669243156422e-05,-5.41467414689167e-05,0.000326027969153913,0.000153487652291892,3.34899898095439e-05
-2.203125,-5.51498846213521e-05,-5.29282453554562e-05,-5.41383069684812e-05,-5.49615382701695e-05,0.000341864137852157,0.000155660789525054,2.89825913473262e-05
-2.1875,-5.59779995775155e-05,-5.36333696331959e-05,-5.49443736544459e-05,-5.58160907276375e-05,0.000360789848649856,0.00015905356034897,2.49144090239357e-05
-2.171875,-5.68628136737839e-05,-5.43781929773318e-05,-5.58022802801559e-05,-5.67267971819554e-05,0.000382331517686639,0.000163194061178892,2.09301129244555e-05
-2.15625,-5.78153269899272e-05,-5.51804248115036e-05,-5.67283831567924e-05,-5.77083357789168e-05,0.000405456716299206,0.000167258079253696,1.64637250841376e-05
-2.140625,-5.8840717765639e-05,-5.60545905685587e-05,-5.77346393326412e-05,-5.87702803273855e-05,0.000428727105609635,0.000170202496732143,1.08388587070328e-05
-2.125,-5.99364419294863e-05,-5.70084306535105e-05,-5.88254353242582e-05,-5.99143279673767e-05,0.000450560118309395,0.000170960840076424,3.40287944454227e-06
-2.109375,-6.10923054862883e-05,-5.8040839412112e-05,-5.99962039656728e-05,-6.11334392042964e-05,0.000469557247500621,0.00016866725714471,-6.3296248222504e-06
-2.09375,-6.22931847524301e-05,-5.91424819288129e-05,-6.12348262802732e-05,-6.24137776329296e-05,0.000484827722015376,0.0001628593859393,-1.85567395013036e-05
-2.078125,-6.35240267019689e-05,-6.02992958884289e-05,-6.25258197955269e-05,-6.37393023679191e-05,0.00049621909204578,0.000153603309370417,-3.31264535473207e-05
-2.0625,-6.47756570042466e-05,-6.14979168517707e-05,-6.38561377988639e-05,-6.50976960638707e-05,0.000504376128262965,0.000141494906581913,-4.95551222753176e-05
-2.046875,-6.60493753090199e-05,-6.27312416289569e-05,-6.52206488219461e-05,-6.64856255856414e-05,0.00051059185315375,0.000127523793069292,-6.712985631573e-05
-2.03125,-6.73585960035489e-05,-6.40022223248613e-05,-6.66253697791555e-05,-6.79114446344558e-05,0.000516476194667676,0.000112828286257252,-8.50719212020781e-05
-2.015625,-6.87266571103045e-05,-6.53244960799919e-05,-6.80871698418333e-05,-6.93941867468976e-05,0.000523521917043993,9.84038079715866e-05,-0.000102718945963822
-2,-7.01808798145295e-05,-6.67192589585576e-05,-6.9629551182131e-05,-7.09586291663426e-05,0.000532671549186285,8.48380250031729e-05,-0.000119679470787283
