x_over_lambda_p,mf12_m3000_psi33_hat,gl6_psi33_hat,difference_pct_of_mf12_peak
-0.859375,-9.00949269344024e-05,0.000161482682290697,0.0387125685978375
-0.84375,0.000240859349584444,0.000514885634583395,0.0421669535230406
-0.828125,0.000574002050278158,0.000872989710755118,0.0460079907419935
-0.8125,0.000882767407665132,0.00120906971316848,0.0502111472652106
-0.796875,0.00114412331169539,0.00150014346469896,0.0547841067327719
-0.78125,0.00133991840192604,0.00172849540623108,0.0597939299170361
-0.765625,0.00145504836961953,0.00187992576484365,0.0653798060922317
-0.75,0.0014729426979908,0.0019391660648048,0.0717420923320427
-0.734375,0.00137000535078775,0.00188407283167021,0.0791043077278517
-0.71875,0.00111136400839225,0.00168097759692717,0.0876516999598644
-0.703125,0.000650490442167381,0.00128381659355646,0.0974557400238154
-0.6875,-6.51260570394925e-05,0.000639308739031101,0.108397883458644
-0.671875,-0.00108121762447354,-0.000300677854330324,0.12010885820913
-0.65625,-0.00241792256381144,-0.00156048619618862,0.13194164735932
-0.640625,-0.00404869532405789,-0.00311942745465843,0.142995023486788
-0.625,-0.00588319335050325,-0.00489413131008388,0.152196104435482
-0.609375,-0.00776109841701583,-0.00673150732302266,0.158432683960639
-0.59375,-0.00946154493477008,-0.00841720402689518,0.160702373951973
-0.578125,-0.0107276410400846,-0.00969939301237273,0.158226013956472
-0.5625,-0.0112993522811372,-0.0103215057667629,0.150470267932318
-0.546875,-0.0109437208348447,-0.0100531100498227,0.137046501138711
-0.53125,-0.00947142060466488,-0.00870786295349777,0.11749566283048
-0.515625,-0.00673341529703788,-0.00614193683294632,0.0910162501576211
-0.5,-0.002599206661703,-0.0022338186604645,0.0562256239986596
-0.484375,0.00307402259438239,0.00314584818051881,0.0110524658333092
-0.46875,0.0104665763182369,0.0101601037918335,-0.0471597561416132
-0.453125,0.0197990637048063,0.0190108176554215,-0.121294694519031
-0.4375,0.0312985874477071,0.0299088197334161,-0.21385638467695
-0.421875,0.0451213125743233,0.0430015760573003,-0.326183421399683
-0.40625,0.0612371601569699,0.0582632053195383,-0.45762987813406
-0.390625,0.0792992893100046,0.0753680850379722,-0.604930683306555
-0.375,0.0985371838861951,0.0935852661036667,-0.761997291561259
-0.359375,0.11771895950225,0.111738126119136,-0.92032603111696
-0.34375,0.135217455138241,0.128263791749988,-1.07002436247476
-0.328125,0.149183690740552,0.141377520362857,-1.20120748091913
-0.3125,0.157789370018273,0.149306799420462,-1.30529142543822
-0.296875,0.159465644057137,0.150525957653778,-1.37563205326247
-0.28125,0.153056979895241,0.143912772413096,-1.40710359922628
-0.265625,0.137834477198336,0.128771876696664,-1.39454597997176
-0.25,0.113364046013207,0.104718179926265,-1.33041920944156
-0.234375,0.0792821655852022,0.0714685284108719,-1.20235646583008
-0.21875,0.0350766083023968,0.0286329942651743,-0.991538361471475
-0.203125,-0.0200081972753854,-0.0243812792215078,-0.672926479207269
-0.1875,-0.0868232045503095,-0.0882424849138526,-0.218397768396244
-0.171875,-0.165834740037119,-0.163258759181494,0.39638994856208
-0.15625,-0.256290104684691,-0.24861373554294,1.1812337667795
-0.140625,-0.355128123458314,-0.341364683806727,2.1179074850717
-0.125,-0.455908934137605,-0.435456828928766,3.14715418556553
-0.109375,-0.548218924133289,-0.521175814654272,4.16137284247959
-0.09375,-0.618092756207985,-0.58554068751661,5.00908723990938
-0.078125,-0.649860286561178,-0.614016505752658,5.51561336332657
-0.0625,-0.629405564764762,-0.593536391508642,5.51952073359135
-0.046875,-0.548199111904638,-0.51624187357283,4.91755520265949
-0.03125,-0.406887679936079,-0.38281356099138,3.70450686748226
-0.015625,-0.21703237528217,-0.204083005542253,1.9926390345286
0,0,3.37925489812054e-12,5.19997139077742e-10
0.015625,0.21703237528217,0.204083005547189,-1.99263903376911
