x_over_lambda_p,gl6_endpoint_band_eta20_scaled,gl6_endpoint_band_difference_pct_of_mf12_peak
2.0703125,-0.00271869417134289,-0.58022505109488
2.109375,-0.00247913918217499,-0.537327808993774
2.1484375,-0.00225335904834415,-0.494567534211728
2.1875,-0.00204168125378243,-0.452139366800307
2.2265625,-0.00184128930768174,-0.41022445574612
2.265625,-0.00164816947215177,-0.368989898970577
2.3046875,-0.00145918114967307,-0.328588727615288
2.34375,-0.00127345264046841,-0.289160004700384
2.3828125,-0.00109265454502331,-0.250829077847024
2.421875,-0.000920181263401392,-0.21370798704329
2.4609375,-0.000759684105369702,-0.177895994488652
2.5,-0.000613599225395861,-0.143480183448064
2.5390625,-0.000482247151061437,-0.110536070029414
2.578125,-0.000363801013553235,-0.0791281835607764
2.6171875,-0.000255055920478986,-0.0493105917570266
2.65625,-0.000152629872066662,-0.0211273688727911
2.6953125,-5.40964540427866e-05,0.00538697764444983
2.734375,4.13757035974026e-05,0.0302070975015483
2.7734375,0.000133070485846419,0.0533163804139548
2.8125,0.000219368725641426,0.074706514128851
2.8515625,0.000298676972705575,0.0943770112606063
2.890625,0.000370247179387453,0.112334709756685
2.9296875,0.000434572701320791,0.128593260202478
2.96875,0.000493239564761187,0.143172617047439
3.0078125,0.000548335144966406,0.156098549872421
3.046875,0.000601680366316843,0.167402185930275
3.0859375,0.000654198218449716,0.177119588110686
3.125,0.000705653161843693,0.185291365246259
3.1640625,0.000754834117652916,0.191962306136459
3.203125,0.000800078026171855,0.197181026062219
3.2421875,0.000839910298214928,0.200999615294881
3.28125,0.000873554288272555,0.203473282680375
3.3203125,0.000901134615866893,0.204659992603616
3.359375,0.000923531768725676,0.204620098945464
3.3984375,0.000941981299268001,0.203415983545457
3.4375,0.000957597544823513,0.201111708172541
3.4765625,0.000971010722748267,0.197772687828345
3.515625,0.000982241875772104,0.193465389901186
3.5546875,0.000990834842006829,0.188257059387196
3.59375,0.000996163207130096,0.182215466454571
3.6328125,0.000997771897591152,0.17540867020041
3.671875,0.000995615775945812,0.16790479213883
3.7109375,0.000990113632492556,0.159771794664597
3.75,0.000982017546230331,0.151077262735634
3.7890625,0.000972169839383167,0.141888190244389
3.828125,0.000961255343577186,0.132270774959212
3.8671875,0.000949645552830389,0.12229022682846
3.90625,0.000937383208951686,0.11201059371283
3.9453125,0.000924294338229073,0.101494606643061
3.984375,0.000910165912453402,0.0908035442399584
4.0234375,0.000894909260814148,0.0799971137997455
4.0625,0.000878645719463623,0.0691333453521887
4.1015625,0.000861690995384873,0.0582684949750776
4.140625,0.000844459166183994,0.0474569546241098
4.1796875,0.000827337363675521,0.0367511672479122
4.21875,0.000810587320389166,0.0262015474421701
4.2578125,0.000794311037806929,0.0158564088954477
4.296875,0.000778485734175678,0.00576190016783578
4.3359375,0.000763043080171042,-0.00403805003316386
4.375,0.000747952071903199,-0.0135017777095552
4.4140625,0.000733268644850235,-0.0225899190733836
4.453125,0.000719134356134016,-0.031265437883284
4.4921875,0.00070573102494688,-0.0394936461363698
4.53125,0.000693216856182571,-0.047242219604747
4.5703125,0.000681674885385285,-0.0544812094349269
4.609375,0.000671095835829877,-0.0611830506788864
4.6484375,0.000661400162601289,-0.0673225683373356
4.6875,0.000652486768978153,-0.072876981340642
4.7265625,0.000644286150253438,-0.0778259048650285
4.765625,0.000636796785139443,-0.0821513514220982
4.8046875,0.000630093455520829,-0.0858377311929772
4.84375,0.00062430915248448,-0.0888718520496104
4.8828125,0.000619602045035984,-0.0912429195986583
4.921875,0.000616121795239986,-0.0929425374211987
4.9609375,0.000613985397994652,-0.0939647075115104
